CountryID;CountryName;HighIncome;Income;Development;Region;WorldRank;RegionRank;2022Score;PropertyRights;JudicialEffectiveness;GovernmentIntegrity;TaxBurden;GovernmentSpending;FiscalHealth;BusinessFreedom;LaborFreedom;MonetaryFreedom;TradeFreedom;InvestmentFreedom;FinancialFreedom;TariffRate;IncomeTaxRate;CorporateTaxRate;TaxBurdenofGDP;GovernmentExpenditurofGDP ;Population;GDP;GDP_GrowthRate;5Year_GDP_GrowthRate;GDPperCapita;Unemployment;Inflation;FDIInflow;PublicDebt
102;Madagascar;0;low income;developing;Sub-Saharan Africa;98;12;58,9;40,3;33,4;23,0;90,7;92,9;87,8;37,4;56,0;75,9;64,8;55;50;10,1;20,0;20,0;11,4;15,4;27,7;$44,1 ;-4,2;2,3;$1 599;1,9;4,2;359,0;43,6
103;Malawi;0;low income;developing;Sub-Saharan Africa;134;26;53,0;48,1;53,0;29,4;78,7;87,4;11,0;34,0;56,4;71,1;67,4;50;50;8,8;30,0;30,0;18,3;20,5;19,1;$20,7 ;0,6;2,9;$993;6,0;8,6;98,0;67,3
104;Malaysia;0;middle income;developing;Asia-Pacific;42;8;68,1;65,6;57,6;53,9;83,8;82,9;73,4;67,1;57,0;83,6;82,2;60;50;3,9;30,0;24,0;12,0;23,9;32,4;$902,6 ;-5,6;2,7;$27 402;4,6;-1,1;3 483,0;67,5
105;Maldives;0;middle income;developing;Asia-Pacific;161;36;47,3;47,2;32,1;43,1;96,9;55,2;0,0;39,8;51,6;77,2;60,0;35;30;12,5;0,0;0,0;17,5;38,6;0,5;$7,4 ;-32,2;-0,7;$19 609;7,2;-1,6;348,0;142,6
106;Mali;0;low income;developing;Sub-Saharan Africa;114;18;55,9;34,0;34,1;28,3;69,8;83,9;70,8;44,2;54,2;82,8;64,0;65;40;10,5;40,0;35,0;14,1;23,2;20,3;$47,2 ;-2,0;3,7;$2 401;7,5;0,6;308,0;44,2
107;Malta;1;high income;developed;Europe;27;19;71,5;87,8;89,9;55,8;69,0;54,6;86,2;75,5;61,8;78,5;79,2;70;50;2,9;35,0;35,0;25,5;38,9;0,5;$22,1 ;-7,0;3,2;$42 856;4,1;0,8;3 917,0;55,4
108;Mauritania;0;middle income;developing;Sub-Saharan Africa;119;20;55,3;36,9;29,9;23,5;75,2;89,4;92,9;35,7;48,9;80,3;60,6;50;40;9,7;40,0;25,0;16,0;18,8;4,6;$24,2 ;-2,2;2,1;$5 834;10,7;2,3;978,0;59,5
109;Mauritius;1;high income;developing;Sub-Saharan Africa;30;1;70,9;85,6;81,7;56,5;91,3;73,4;6,8;72,0;69,8;75,9;87,4;80;70;1,3;15,0;15,0;20,4;29,8;1,3;$25,7 ;-15,8;-0,3;$20 292;7,1;2,5;246,0;87,8
110;Mexico;0;middle income;developing;Americas;67;14;63,7;47,7;40,7;32,0;76,0;78,3;78,0;69,2;58,4;73,0;76,6;75;60;4,2;35,0;30,0;16,5;26,9;128,9;$2 444,7 ;-8,2;-0,3;$19 130;4,7;3,4;29 079,0;60,6
111;Micronesia;0;middle income;developing;Asia-Pacific;82;16;61,0;54,3;82,2;56,8;80,7;0,0;99,5;52,4;81,5;84,3;74,8;35;30;5,1;10,0;21,0;37,3;61,5;0,1;$0,4 ;-1,6;0,7;$3 446;16,2;0,5;NA;16,0
112;Moldova;0;middle income;developing;Europe;78;39;61,3;55,9;30,7;34,7;94,1;68,1;87,2;64,2;46,4;72,4;76,6;55;50;4,2;12,0;12,0;17,3;32,6;2,6;$33,7 ;-7,5;1,8;$12 811;4,7;3,8;55,0;35,3
113;Mongolia;0;middle income;developing;Asia-Pacific;66;12;63,9;48,8;57,1;37,0;89,2;68,2;81,9;66,5;67,5;76,0;74,4;50;50;5,3;10,0;25,0;18,7;32,6;3,3;$39,7 ;-5,3;2,7;$11 825;4,3;3,7;1 719,0;76,6
114;Montenegro;0;middle income;developing;Europe;103;41;57,8;61,3;43,0;46,4;83,9;29,5;11,9;67,1;61,7;85,6;78,8;75;50;5,6;9,0;9,0;38,1;48,5;0,6;$12,0 ;-15,2;0,3;$19 252;15,9;-0,2;529,0;108,8
115;Morocco;0;middle income;developing;Middle East and North Africa;97;6;59,2;57,8;32,7;41,0;68,2;69,8;46,0;64,8;46,4;80,0;68,6;65;70;10,7;38,0;31,0;27,8;31,8;36,9;$274,0 ;-7,0;0,8;$7 620;10,2;0,6;1 763,0;76,1
116;Mozambique;0;low income;developing;Sub-Saharan Africa;142;32;51,3;31,9;44,1;26,3;72,2;70,3;52,7;36,7;47,4;78,8;70,6;35;50;7,2;32,0;32,0;27,1;31,5;31,3;$40,8 ;-0,5;2,6;$1 277;3,4;3,1;2 337,0;122,2
117;Namibia;0;middle income;developing;Sub-Saharan Africa;95;11;59,2;63,8;67,6;53,9;72,3;56,5;22,4;55,4;63,4;79,0;71,2;65;40;6,9;37,0;32,0;19,4;38,1;2,5;$23,8 ;-7,2;-1,8;$9 397;20,4;2,6;-75,0;65,7
118;Nepal;0;middle income;developing;Asia-Pacific;148;31;49,7;37,4;34,1;33,8;82,6;77,2;51,5;60,2;51,5;70,0;57,6;10;30;13,7;25,0;25,0;22,1;27,6;29,1;$117,1 ;-1,9;4,4;$4 061;4,4;6,2;126,0;41,3
119;Netherlands;1;high income;developed;Europe;8;5;79,5;96,2;96,9;92,3;51,2;45,4;93,6;88,1;58,9;82,1;79,2;90;80;2,9;52,0;25,0;39,3;42,7;17,4;$1 001,5 ;-3,8;1,1;$57 534;4,1;1,1;-115 300,0;54,0
120;New Zealand;1;high income;developed;Asia-Pacific;4;2;80,6;88,2;95,9;97,5;70,8;53,5;88,3;81,3;70,5;81,8;90,0;70;80;2,5;33,0;28,0;32,3;39,4;5,1;$213,9 ;-3,0;2,1;$42 018;4,6;1,7;4 216,0;41,3
121;Nicaragua;0;middle income;developing;Americas;122;23;54,8;30,1;19,5;19,0;75,3;76,2;87,3;53,8;46,9;72,0;67,8;60;50;6,1;30,0;30,0;25,9;28,2;6,6;$36,2 ;-3,0;-0,3;$5 575;5,8;3,7;182,0;46,0
122;Niger;0;low income;developing;Sub-Saharan Africa;121;22;54,9;37,4;35,9;32,5;77,5;85,7;69,0;35,2;53,6;74,6;62,6;55;40;11,2;35,0;30,0;11,1;21,9;24,2;$30,5 ;1,2;5,0;$1 259;0,7;2,8;367,0;44,2
123;Nigeria;0;middle income;developing;Sub-Saharan Africa;124;23;54,4;22,1;33,8;22,7;84,8;95,3;58,1;41,2;73,6;67,5;68,6;45;40;8,2;24,0;30,0;6,3;12,5;206,1;$1 069,2 ;-1,8;0,3;$5 187;9,0;13,2;2 385,0;35,1
124;Norway;1;high income;developed;Europe;14;10;76,9;99,6;97,3;96,0;56,4;19,5;96,6;91,4;68,8;76,9;85,4;75;60;2,3;47,8;22,0;39,9;51,8;5,4;$354,6 ;-0,8;0,9;$65 800;4,6;1,3;-2 394,0;41,4
125;Oman;1;high income;developing;Middle East and North Africa;108;8;56,6;74,9;27,1;53,3;97,7;32,8;6,9;58,1;45,7;84,7;73,4;65;60;5,8;0,0;15,0;2,6;47,3;5,1;$134,2 ;-6,4;-0,2;$30 178;5,0;-0,9;4 093,0;81,1
126;Pakistan;0;middle income;developing;Asia-Pacific;153;34;48,8;29,0;28,5;27,4;78,0;85,1;4,8;49,5;51,6;65,9;65,8;60;40;9,6;35,0;29,0;11,4;22,3;220,9;$1 074,1 ;-0,4;3,4;$5 150;4,7;10,7;2 105,0;87,2
127;Panama;1;high income;developing;Americas;56;11;65,4;58,8;50,7;38,0;85,5;81,9;40,7;67,1;61,5;78,1;77,2;75;70;6,4;25,0;25,0;14,1;24,6;4,3;$115,5 ;-17,9;-0,2;$27 003;10,2;-1,6;589,0;63,5
128;Papua New Guinea;0;middle income;developing;Asia-Pacific;123;26;54,6;42,7;44,2;26,2;72,0;86,0;64,1;47,9;65,1;71,4;80,4;25;30;2,3;42,0;30,0;11,8;21,6;8,9;$33,7 ;-3,9;2,1;$3 833;2,7;5,0;-935,0;49,2
129;Paraguay;0;middle income;developing;Americas;73;17;62,9;45,5;37,9;29,5;96,1;84,0;68,8;65,4;39,4;75,6;77,0;75;60;6,5;10,0;10,0;13,9;23,1;7,1;$93,4 ;-0,9;2,3;$12 881;7,6;1,8;568,0;34,8
130;Peru;0;middle income;developing;Americas;51;8;66,5;49,7;49,7;39,7;79,5;84,2;73,1;65,3;59,6;81,4;81,4;75;60;1,8;30,0;29,5;16,6;23,0;33,0;$397,6 ;-11,1;0,3;$11 871;6,2;1,8;982,0;35,4
131;Philippines;0;middle income;developing;Asia-Pacific;80;15;61,1;47,1;25,6;34,7;76,8;84,2;81,8;61,5;58,0;69,4;73,8;60;60;5,6;35,0;30,0;14,0;23,0;109,6;$919,4 ;-9,5;3,4;$8 452;3,4;2,6;6 542,0;47,1
132;Poland;1;high income;developed;Europe;39;25;68,7;72,3;54,7;60,6;73,6;41,9;78,3;78,7;55,7;79,1;79,2;80;70;2,9;32,0;19,0;35,4;44,0;38,0;$1 294,5 ;-2,7;3,0;$34 103;3,6;3,4;10 080,0;57,7
133;Portugal;1;high income;developed;Europe;31;21;70,8;89,9;92,1;67,8;60,4;39,5;72,8;76,2;55,5;86,8;79,2;70;60;2,9;48,0;21,0;34,8;44,9;10,3;$350,2 ;-7,6;0,7;$34 043;7,2;-0,1;6 324,0;131,6
134;Qatar;1;high income;developing;Middle East and North Africa;44;3;67,7;68,6;38,8;60,0;97,8;69,3;89,7;58,6;51,9;76,0;81,4;60;60;4,3;0,0;0,0;14,7;32,0;2,9;$262,0 ;-2,6;0,2;$93 508;3,5;-2,7;-2 434,0;71,8
135;Romania;1;high income;developed;Europe;47;28;67,1;81,0;64,8;45,4;94,3;63,9;42,8;71,4;64,1;78,8;79,2;70;50;2,9;10,0;16,0;14,6;34,7;19,3;$589,7 ;-3,9;3,3;$30 526;4,8;2,6;2 322,0;50,1
136;Russia;0;middle income;developing;Europe;113;43;56,1;36,8;34,7;29,7;93,1;62,6;99,3;62,5;57,3;68,0;69,0;30;30;5,5;13,0;20,0;11,0;35,3;144,1;$4 096,5 ;-3,1;0,8;$27 903;5,7;3,4;9 676,0;19,3
137;Rwanda;0;low income;developing;Sub-Saharan Africa;105;16;57,1;61,1;26,6;54,7;79,1;76,3;61,6;50,7;42,6;74,4;58,2;60;40;13,4;30,0;30,0;17,1;28,1;13,0;$29,6 ;-0,2;5,5;$2 337;1,4;8,0;135,0;61,0
138;Saint Lucia;0;middle income;developing;Americas;65;13;64,3;66,8;76,9;58,1;77,5;78,7;50,1;61,5;58,2;82,2;56,6;65;40;14,2;30,0;30,0;21,1;26,7;0,2;$2,4 ;-18,9;-1,4;$13 359;17,1;-1,8;15,0;84,4
139;Saint Vincent and the Grenadines;0;middle income;developing;Americas;54;9;65,7;64,0;76,9;62,0;75,5;66,9;68,5;61,4;58,8;84,2;59,8;70;40;12,6;30,0;30,0;25,4;33,2;0,1;$1,4 ;-4,2;0,2;$12 606;20,3;-0,6;73,0;87,2
140;Samoa;0;middle income;developing;Asia-Pacific;40;7;68,3;78,4;78,4;53,7;78,6;68,5;95,6;61,5;71,6;81,4;66,4;55;30;9,3;27,0;27,0;26,2;32,4;0,2;$1,1 ;-3,2;1,5;$5 653;8,9;1,5;-1,0;46,7
141;S?o Tom? and Pr?ncipe;0;middle income;developing;Sub-Saharan Africa;85;7;60,3;44,1;62,2;48,7;88,2;83,1;85,9;49,0;41,6;65,9;65,0;60;30;10,0;20,0;25,0;12,5;23,7;0,2;$0,8 ;-6,5;1,2;$3 829;13,9;9,8;47,0;81,4
142;Saudi Arabia;1;high income;developing;Middle East and North Africa;118;9;55,5;46,7;35,8;50,7;99,3;57,3;17,9;68,1;41,2;79,0;74,8;45;50;5,1;2,5;2,5;7,4;37,7;34,8;$1 627,3 ;-4,1;-0,1;$46 811;8,2;3,4;5 486,0;32,4
143;Senegal;0;middle income;developing;Sub-Saharan Africa;88;8;60,0;58,0;49,8;47,8;72,3;82,1;56,7;57,9;53,9;76,1;65,8;60;40;9,6;40,0;30,0;16,5;24,4;16,7;$58,3 ;0,8;5,0;$3 478;7,1;2,5;1 481,0;65,8
144;Serbia;0;middle income;developing;Europe;59;35;65,2;58,8;50,4;37,9;90,9;42,5;85,7;74,4;62,9;81,6;77,0;70;50;6,5;10,0;15,0;24,1;43,8;6,9;$132,8 ;-1,0;2,6;$19 146;9,1;1,7;3 440,0;58,4
145;Seychelles;1;high income;developing;Sub-Saharan Africa;79;5;61,1;78,8;62,4;65,2;76,4;42,5;36,7;61,2;61,7;82,1;81,2;55;30;4,4;15,0;33,0;32,4;43,8;0,1;$2,5 ;-13,4;-0,1;$25 414;;1,2;122,0;98,4
146;Sierra Leone;0;low income;developing;Sub-Saharan Africa;140;30;52,0;43,1;41,9;32,4;86,7;84,9;54,0;34,4;38,2;65,1;63,6;60;20;13,2;15,0;30,0;14,4;22,4;8,0;$13,8 ;-2,2;3,4;$1 725;4,6;15,7;349,0;71,9
147;Singapore;1;high income;developing;Asia-Pacific;1;1;84,4;94,4;58,3;92,8;90,5;90,1;79,6;83,1;77,0;86,5;95,0;85;80;0,0;22,0;17,0;13,2;18,2;5,7;$560,2 ;-5,4;1,5;$97 057;5,2;-0,2;90 562,0;128,4
148;Slovakia;1;high income;developed;Europe;36;23;69,7;83,2;71,9;53,7;77,3;41,8;76,0;75,9;56,5;75,5;79,2;75;70;2,9;25,0;21,0;34,7;44,1;5,5;$178,5 ;-5,2;1,2;$32 710;6,8;2,0;-1 930,0;60,7
149;Slovenia;1;high income;developed;Europe;32;22;70,5;89,7;91,6;66,7;57,2;36,4;77,4;79,7;63,3;85,1;79,2;70;50;2,9;50,0;19,0;37,7;46,0;2,1;$81,3 ;-5,5;2,0;$38 807;5,2;-0,1;529,0;81,5
150;Solomon Islands;0;middle income;developing;Asia-Pacific;110;22;56,5;50,6;59,5;42,3;70,5;60,1;98,0;44,4;60,2;79,0;68,6;15;30;8,2;40,0;30,0;21,2;36,5;0,7;$1,6 ;-4,3;2,4;$2 455;0,8;3,4;9,0;13,9
151;South Africa;0;middle income;developing;Sub-Saharan Africa;112;17;56,2;43,2;61,3;48,4;63,4;68,1;8,1;65,7;71,1;78,0;72,2;45;50;6,4;45,0;28,0;29,1;32,6;59,3;$717,4 ;-7,0;-0,8;$12 032;28,7;3,3;3 106,0;77,1
152;Spain;1;high income;developed;Europe;41;26;68,2;87,7;74,3;67,2;59,7;38,3;29,7;75,2;61,8;85,4;84,2;85;70;2,9;47,0;25,0;34,7;45,3;47,4;$1 808,7 ;-11,0;-0,1;$38 392;15,7;-0,3;8 928,0;117,1
153;Sri Lanka;0;middle income;developing;Asia-Pacific;132;28;53,3;51,7;57,7;40,1;90,3;87,4;0,0;58,3;55,7;71,6;47,0;40;40;19,0;18,0;24,0;8,1;20,5;21,9;$289,9 ;-3,6;2,0;$13 215;4,8;4,6;434,0;100,1
154;Sudan;0;low income;developing;Sub-Saharan Africa;174;47;32,0;22,2;13,2;14,6;84,9;92,9;0,0;25,0;44,8;13,7;48,0;5;20;16,0;15,0;35,0;7,8;15,4;43,8;$181,7 ;-3,6;-0,9;$4 098;17,7;163,3;717,0;262,5
155;Suriname;0;middle income;developing;Americas;156;29;48,1;51,2;45,8;37,6;70,2;66,6;0,0;52,7;64,2;58,4;60,6;40;30;12,2;38,0;36,0;15,5;33,4;0,6;$8,8 ;-13,5;-2,9;$14 513;8,7;34,9;-27,0;165,8
156;Eswatini;0;middle income;developing;Sub-Saharan Africa;141;31;51,4;46,1;36,9;32,1;78,6;63,9;15,6;48,9;54,8;77,9;71,8;50;40;9,1;33,0;27,5;17,2;34,7;1,2;$10,1 ;-3,3;0,9;$8 957;23,4;3,9;41,0;47,1
157;Sweden;1;high income;developed;Europe;11;8;77,9;97,3;97,1;95,7;44,9;26,4;95,8;84,6;65,4;83,6;79,2;85;80;2,9;57,0;20,6;42,9;49,5;10,4;$562,0 ;-2,8;1,0;$54 146;8,5;0,7;26 109,0;38,5
158;Switzerland;1;high income;developed;Europe;2;1;84,2;95,2;98,0;92,3;70,1;67,2;96,3;84,3;60,0;84,9;86,6;85;90;1,7;40,0;24,0;28,5;33,1;8,6;$627,2 ;-3,0;1,0;$72 874;4,9;-0,7;-47 172,0;42,9
159;Syria;0;low income;developing;Middle East and North Africa;;;;;;;;;;;;;;;;;22,0;28,0;;;17,5;;-10,5;-1,4;;9,0;;;52,7
160;Taiwan ;1;high income;developing;Asia-Pacific;6;3;80,1;81,3;94,2;73,8;79,2;90,7;86,6;84,3;68,7;86,1;86,0;70;60;2,0;40,0;20,0;9,0;17,6;23,6;$1 316,0 ;3,1;2,9;$55 724;4,5;-0,2;8 802,0;33,7
161;Tajikistan;0;low income;developing;Asia-Pacific;147;30;49,7;29,5;9,1;17,8;95,3;72,4;80,0;56,9;43,1;67,1;69,6;25;30;7,7;13,0;15,0;9,0;30,3;9,5;$34,8 ;4,5;6,7;$3 676;7,5;8,6;107,0;48,1
162;Tanzania;0;middle income;developing;Sub-Saharan Africa;93;10;59,5;36,9;27,0;36,9;80,6;91,9;93,3;46,3;62,0;73,8;59,8;55;50;10,1;30,0;30,0;11,7;16,5;59,7;$163,6 ;1,0;5,7;$2 821;2,2;3,0;1 013,0;38,2
163;Thailand;0;middle income;developing;Asia-Pacific;70;13;63,2;44,2;36,2;38,5;81,3;84,4;89,8;63,4;59,6;74,2;71,6;55;60;6,7;35,0;20,0;15,8;22,8;69,8;$1 272,9 ;-6,1;1,6;$18 236;1,0;-0,8;-6 100,0;49,6
164;Timor-Leste;0;middle income;developing;Asia-Pacific;164;37;46,3;30,8;35,3;38,2;97,6;0,0;19,7;57,9;56,2;79,5;75,0;45;20;2,5;10,0;10,0;6,3;76,7;1,3;$4,5 ;-6,8;-1,4;$3 382;5,1;0,5;72,0;12,2
165;Togo;0;low income;developing;Sub-Saharan Africa;104;15;57,2;36,8;35,1;28,8;68,7;88,9;88,8;51,5;54,5;77,3;65,6;60;30;12,2;45,0;27,0;19,4;19,2;8,3;$18,2 ;0,7;4,2;$2 199;4,1;1,8;639,0;57,6
166;Tonga;0;middle income;developing;Asia-Pacific;83;17;60,8;64,2;68,1;40,5;85,4;54,6;96,5;58,7;55,8;71,9;73,4;40;20;5,8;20,0;25,0;20,9;38,9;0,1;$0,6 ;-0,5;2,1;$6 191;4,4;0,2;0,0;41,6
167;Trinidad and Tobago;1;high income;developing;Americas;99;21;58,8;58,8;59,3;44,2;79,1;69,0;12,9;60,9;57,4;84,6;68,8;60;50;8,1;25,0;30,0;23,7;32,1;1,4;$35,0 ;-7,8;-3,5;$25 031;6,7;0,6;-439,0;59,4
168;Tunisia;0;middle income;developing;Middle East and North Africa;128;10;54,2;60,9;49,5;47,3;75,2;67,0;20,8;57,7;56,0;74,4;66,2;45;30;9,4;35,0;15,0;32,1;33,2;11,8;$120,5 ;-8,8;-0,4;$10 120;16,7;5,7;652,0;87,6
169;Turkey;0;middle income;developing;Europe;107;42;56,9;42,0;25,6;39,4;74,7;63,8;59,2;63,4;47,1;61,9;75,6;70;60;4,7;40,0;20,0;23,1;34,7;84,3;$2 546,5 ;1,8;3,3;$30 253;13,9;12,3;7 880,0;36,8
170;Turkmenistan;0;middle income;developing;Asia-Pacific;165;38;46,2;19,0;8,3;7,4;92,6;94,5;98,0;37,5;30,7;72,7;74,2;10;10;2,9;10,0;20,0;15,6;13,5;6,0;$98,2 ;0,8;5,2;$16 521;4,4;7,6;1 169,0;31,0
171;Uganda;0;low income;developing;Sub-Saharan Africa;127;24;54,2;48,3;29,2;24,0;73,6;89,8;53,5;46,5;54,7;78,2;57,8;55;40;13,6;40,0;30,0;11,8;18,5;45,7;$106,1 ;-2,1;3,9;$2 574;2,4;3,8;823,0;45,7
172;Ukraine;0;middle income;developing;Europe;130;44;54,1;39,7;31,4;33,8;89,1;44,5;73,6;61,1;60,7;71,2;78,6;35;30;3,2;20,0;18,0;19,2;43,0;44,1;$543,8 ;-4,2;1,5;$13 110;9,5;2,7;-868,0;60,7
173;United Arab Emirates;1;high income;developing;Middle East and North Africa;33;1;70,2;63,5;35,4;71,8;100,0;71,5;92,8;73,2;64,9;80,8;78,2;50;60;3,4;0,0;0,0;1,0;30,8;9,9;$650,8 ;-5,9;0,5;$58 753;5,0;-2,1;19 884,0;38,3
174;United Kingdom;1;high income;developed;Europe;24;17;72,7;96,2;85,9;87,1;65,4;46,3;22,6;79,1;62,1;83,0;84,2;80;80;2,9;45,0;19,0;32,7;42,3;67,2;$2 959,9 ;-9,9;-0,8;$44 117;4,3;0,9;19 724,0;103,7
175;United States;1;high income;developed;Americas;25;3;72,1;95,7;77,9;75,7;75,9;54,5;0,0;87,5;75,8;82,3;75,2;85;80;2,4;37,0;21,0;24,5;38,9;329,5;$20 932,8 ;-3,5;1,1;$63 416;8,3;1,2;156 321,0;127,1
176;Uruguay;1;high income;developing;Americas;34;5;70,0;84,0;80,4;75,2;72,4;70,2;75,2;75,7;60,3;70,9;70,4;75;30;9,8;36,0;25,0;29,0;31,5;3,5;$79,3 ;-5,7;-0,3;$22 459;12,7;9,8;2 630,0;66,3
177;Uzbekistan;0;middle income;developing;Asia-Pacific;117;25;55,7;31,6;13,1;23,8;90,8;78,1;96,6;59,1;48,0;61,6;75,6;50;40;4,7;22,0;7,5;19,6;27,0;34,2;$252,6 ;1,6;4,7;$7 449;6,0;12,9;1 726,0;37,9
178;Vanuatu;0;middle income;developing;Asia-Pacific;72;14;62,9;57,8;71,2;42,4;96,8;60,1;96,1;49,1;40,0;74,4;61,6;65;40;9,2;0,0;0,0;17,8;36,5;0,3;$0,8 ;-9,2;1,6;$2 586;2,0;2,9;30,0;44,2
179;Venezuela;0;middle income;developing;Americas;176;32;24,8;0,2;4,6;7,1;74,1;78,3;0,0;30,8;37,6;0,0;54,8;0;10;12,6;34,0;34,0;16,7;26,9;28,4;$144,7 ;-30,0;-23,5;$5 178;9,1;2355,1;959,0;304,1
180;Vietnam;0;middle income;developing;Asia-Pacific;84;18;60,6;49,6;33,8;33,6;80,9;85,5;78,8;73,6;53,9;68,8;78,8;40;50;5,6;35,0;20,0;16,9;22,0;97,3;$1 058,7 ;2,9;6,1;$10 869;2,3;3,2;15 800,0;46,6
181;Yemen;0;low income;developing;Middle East and North Africa;;;;;;;;;;;;;;;;;15,0;20,0;;;29,8;$62,6 ;-5,0;-3,3;$1 927;13,4;26,2;-371,0;83,2
182;Zambia;0;middle income;developing;Sub-Saharan Africa;154;36;48,7;38,3;45,2;30,8;70,9;73,3;0,0;44,2;41,9;66,4;68,2;55;50;8,4;37,5;35,0;16,7;29,8;18,4;$63,1 ;-3,5;1,9;$3 342;12,2;16,4;234,0;117,8
183;Zimbabwe;0;middle income;developing;Sub-Saharan Africa;173;46;33,1;20,8;16,3;20,6;66,1;87,2;79,8;36,9;34,9;0,0;0,0;25;10;67,7;51,5;24,0;12,6;20,7;14,9;$39,8 ;-8,0;-1,3;$2 622;5,7;557,2;194,0;88,9
184;Somalia;0;low income;developing;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;15,9;$13,9 ;-1,5;1,6958;$925;13,1;;464,0;
185;Kosovo;0;middle income;developing;Europe;86;40;60,1;47,4;31,0;37,5;92,5;71,6;67,4;68,0;53,1;79,1;78,6;65;30;3,2;10,0;10,0;23,4;30,7;1,8;$20,4 ;-6,0;2,2;$11 274;;0,2;304,2259986;24,4
186;Brunei Darussalam;1;high income;developing;Asia-Pacific;62;9;64,8;67,0;51,6;61,1;90,8;68,1;20,0;72,4;75,0;72,3;84,6;65;50;0,2;0,0;18,5;24,0;32,6;0,4;$28,7 ;1,2;0,8;$62 371;8,4;1,9;577,0;2,9
